09:53:14,699 ERROR [cl.mdr.ifrs.modules.seguridad.filter.SeguridadFilter] (http--0.0.0.0-8081-6) Usuario No autorizado
09:53:18,878 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) autentificando usuario
09:53:19,296 WARN  [org.hibernate.hql.internal.ast.QueryTranslatorImpl] (http--0.0.0.0-8081-6) HHH000104: firstResult/maxResults specified with collection fetch; applying in memory!
09:53:19,998 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:19,999 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,000 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO as NOMBRE1_10_0_,
09:53:20,001 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_GRUPO_ACCESO as ID1_22_1_,
09:53:20,003 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_MATERNO as APELLIDO2_10_0_,
09:53:20,004 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.APELLIDO_PATERNO as APELLIDO3_10_0_,
09:53:20,004 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.CAMBIAR_PASSWORD as CAMBIAR4_10_0_,
09:53:20,005 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.email as email10_0_,
09:53:20,006 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ACTUALIZACION as FECHA6_10_0_,
09:53:20,006 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_CREACION as FECHA7_10_0_,
09:53:20,007 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.FECHA_ULTIMO_ACCESO as FECHA8_10_0_,
09:53:20,007 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE as NOMBRE10_0_,
09:53:20,008 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.password as password10_0_,
09:53:20,009 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.ID_ROL as ID12_10_0_,
09:53:20,009 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.vigente as vigente10_0_,
09:53:20,010 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ACCESO_BLOQUEADO as ACCESO2_22_1_,
09:53:20,010 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.ID_AREA_NEGOCIO as ID5_22_1_,
09:53:20,011 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.nombre as nombre22_1_,
09:53:20,012 INFO  [stdout] (http--0.0.0.0-8081-6)         grupo2_.VIGENTE as VIGENTE22_1_,
09:53:20,012 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.NOMBRE_USUARIO as NOMBRE2_10_0__,
09:53:20,013 INFO  [stdout] (http--0.0.0.0-8081-6)         grupos1_.ID_GRUPO_ACCESO as ID1_0__ 
09:53:20,013 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,014 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO usuario0_,
09:53:20,014 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_USUARIO_GRUPO grupos1_,
09:53:20,015 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_GRUPO grupo2_ 
09:53:20,015 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,016 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO=grupos1_.NOMBRE_USUARIO(+) 
09:53:20,016 INFO  [stdout] (http--0.0.0.0-8081-6)         and grupos1_.ID_GRUPO_ACCESO=grupo2_.ID_GRUPO_ACCESO(+) 
09:53:20,017 INFO  [stdout] (http--0.0.0.0-8081-6)         and usuario0_.NOMBRE_USUARIO=?
09:53:20,020 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,021 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,021 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.ID_ROL as ID1_37_0_,
09:53:20,022 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.NOMBRE_ROL as NOMBRE2_37_0_ 
09:53:20,022 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,023 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_ROL rol0_ 
09:53:20,023 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,023 INFO  [stdout] (http--0.0.0.0-8081-6)         rol0_.ID_ROL=?
09:53:20,025 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,026 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,026 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_AREA_NEGOCIO as ID1_17_1_,
09:53:20,027 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT as ID4_17_1_,
09:53:20,027 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.nombre as nombre17_1_,
09:53:20,028 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.VIGENTE as VIGENTE17_1_,
09:53:20,029 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.ID_RUT as ID1_12_0_,
09:53:20,029 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.dv as dv12_0_,
09:53:20,030 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.giro as giro12_0_,
09:53:20,030 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.nombre as nombre12_0_,
09:53:20,031 INFO  [stdout] (http--0.0.0.0-8081-6)         empresa1_.RAZON_SOCIAL as RAZON5_12_0_ 
09:53:20,031 INFO  [stdout] (http--0.0.0.0-8081-6)     from
09:53:20,032 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_AREA_NEGOCIO areanegoci0_,
09:53:20,032 INFO  [stdout] (http--0.0.0.0-8081-6)         IFRS_EMPRESA empresa1_ 
09:53:20,033 INFO  [stdout] (http--0.0.0.0-8081-6)     where
09:53:20,033 INFO  [stdout] (http--0.0.0.0-8081-6)         areanegoci0_.ID_RUT=empresa1_.ID_RUT(+) 
09:53:20,034 INFO  [stdout] (http--0.0.0.0-8081-6)         and areanegoci0_.ID_AREA_NEGOCIO=?
09:53:20,036 INFO  [cl.mdr.ifrs.modules.seguridad.mb.LoginBackingBean] (http--0.0.0.0-8081-6) Login OK
09:53:20,038 INFO  [stdout] (http--0.0.0.0-8081-6) Hibernate: 
09:53:20,039 INFO  [stdout] (http--0.0.0.0-8081-6)     select
09:53:20,039 INFO  [stdout] (http--0.0.0.0-8081-6)         usuario0_.NOMBRE_USUARIO as NOMBRE1_10_0_,
